;word;count;category;subcategory
2;Sky;1303;perceptual;weather
3;Plant;1008;biophysical;flora
0;Water;876;biophysical;hydrology
1;Cloud;827;perceptual;weather
9;Tree;616;biophysical;flora
19;Natural landscape;559;biophysical;land cover
7;Mountain;508;biophysical;landform
11;Highland;434;unclassified;unclassified
5;Building;428;cultural;settlement
15;Lake;344;biophysical;hydrology
33;Window;281;cultural;settlement
14;Landscape;269;biophysical;landform
14;Landscape;269;biophysical;flora
8;Azure;252;perceptual;color / vision
105;Grass;233;biophysical;flora
46;Wood;231;biophysical;flora
118;Land lot;211;unclassified;unclassified
4;Water resources;210;biophysical;hydrology
18;Nature;208;biophysical;flora
100;House;193;cultural;settlement
35;Coastal and oceanic landforms;192;biophysical;landform
133;Slope;186;biophysical;landform
103;Leisure;177;activities;activities
10;Atmosphere;166;sense of place;feeling
10;Atmosphere;166;biophysical;climate
13;Horizon;163;perceptual;color / vision
117;Road surface;142;perceptual;texture
66;Vehicle;137;cultural;anthropogenic  objects
599;String instrument;122;cultural;anthropogenic  objects
581;Musician;112;activities;activities
104;Sunlight;111;perceptual;atmospheric conditions
126;Ecoregion;110;unclassified;unclassified
411;Musical instrument;109;cultural;anthropogenic  objects
159;Vegetation;101;biophysical;flora
31;Body of water;96;biophysical;hydrology
12;Atmospheric phenomenon;94;perceptual;atmospheric conditions
32;Swimming pool;87;cultural;anthropogenic  objects
179;Facade;85;cultural;anthropogenic  objects
808;Swimmer;82;activities;activities
123;Agriculture;80;cultural;land use
87;Travel;78;activities;activities
116;Asphalt;77;cultural;anthropogenic  objects
114;Terrain;76;biophysical;landform
154;Dusk;75;perceptual;atmospheric conditions
84;Microphone;74;cultural;anthropogenic  objects
200;Boat;73;cultural;anthropogenic  objects
97;Property;71;cultural;land use
30;Rectangle;70;perceptual;pattern
141;Flower;69;biophysical;flora
590;Guitar accessory;69;cultural;anthropogenic  objects
300;Blue;68;perceptual;color / vision
6;Daytime;66;cultural;time depth
591;Musical instrument accessory;66;cultural;anthropogenic  objects
47;Font;64;perceptual;color / vision
34;Tints and shades;63;perceptual;texture
136;City;63;cultural;settlement
217;Cap;63;cultural;anthropogenic  objects
42;Event;62;unclassified;unclassified
120;Wheel;62;cultural;anthropogenic  objects
152;Afterglow;59;perceptual;atmospheric conditions
115;Infrastructure;58;cultural;infrastructure
167;Neighbourhood;58;cultural;settlement
253;Recreation;58;activities;activities
318;Watercraft;58;cultural;anthropogenic  objects
347;Train;58;cultural;anthropogenic  objects
74;Smile;56;sense of place;feeling
16;Cumulus;55;perceptual;weather
242;Electricity;55;unclassified;unclassified
583;Music;55;unclassified;unclassified
17;Bank;54;cultural;infrastructure
98;Fixture;54;cultural;anthropogenic  objects
450;Outdoor recreation;54;activities;activities
91;Art;52;unclassified;unclassified
184;Motor vehicle;52;cultural;anthropogenic  objects
125;Grassland;51;biophysical;flora
150;People in nature;51;biophysical;fauna
150;People in nature;51;biophysical;flora
72;Urban design;50;perceptual;color / vision
121;Tire;49;cultural;anthropogenic  objects
138;Hat;49;cultural;anthropogenic  objects
122;Plant community;47;biophysical;flora
153;Fluid;47;perceptual;feel
593;String instrument accessory;47;cultural;anthropogenic  objects
57;Table;46;cultural;infrastructure
220;Snow;46;biophysical;hydrology
348;Rolling stock;45;cultural;anthropogenic  objects
610;Guitar;45;cultural;anthropogenic  objects
64;Mountainous landforms;44;biophysical;landform
64;Mountainous landforms;44;sense of place;meaning
142;Leaf;44;biophysical;flora
143;Green;44;perceptual;color / vision
169;Residential area;42;cultural;settlement
183;Street light;42;cultural;infrastructure
219;Road;42;cultural;infrastructure
812;Swim cap;42;cultural;anthropogenic  objects
586;Entertainment;41;unclassified;unclassified
349;Track;40;cultural;infrastructure
137;Shorts;39;cultural;anthropogenic  objects
24;Flash photography;38;activities;activities
43;Tableware;38;unclassified;unclassified
180;Fence;38;cultural;infrastructure
44;Fun;36;sense of place;feeling
124;Plain;36;biophysical;landform
135;Rural area;36;unclassified;unclassified
139;Headgear;36;cultural;anthropogenic  objects
99;Architecture;35;cultural;settlement
172;Food;34;unclassified;unclassified
213;Gas;34;unclassified;unclassified
326;Muscle;34;unclassified;unclassified
597;Music artist;34;activities;activities
598;Band plays;34;activities;activities
814;Competition event;34;unclassified;unclassified
119;Car;33;cultural;anthropogenic  objects
283;Sports;33;activities;activities
127;Natural environment;32;biophysical;flora
162;Wall;32;cultural;infrastructure
