;word;count;category;subcategory;
0;Sky;4130;perceptual;weather;
23;Mountain;3546;biophysical;landform;
1;Plant;2956;biophysical;flora;
17;Cloud;2829;perceptual;weather;
3;Natural landscape;2550;biophysical;land cover;
2;Tree;2459;biophysical;flora;
21;Slope;2142;biophysical;landform;
95;Snow;1770;biophysical;land cover;
20;Highland;1687;biophysical;landform;
7;Landscape;1203;biophysical;landform;
19;Building;1050;cultural;settlement;
26;Water;998;biophysical;hydrology;
70;Terrain;862;biophysical;landform;
24;Window;815;cultural;settlement;
5;Grass;807;biophysical;flora;
56;Vehicle;801;cultural;anthropogenic objects;
10;Wood;596;biophysical;flora;
140;Ecoregion;570;sense of place;identity;
130;Nature;546;biophysical;land cover;
106;Freezing;534;sense of place;feeling;
105;Ice cap;514;biophysical;land cover;
55;Train;508;cultural;anthropogenic objects;
57;Rolling stock;448;cultural;anthropogenic objects;
25;Larch;434;biophysical;flora;
211;Lake;423;biophysical;hydrology;
252;Mountainous landforms;420;biophysical;geology;
252;Mountainous landforms;420;biophysical;landform;
8;House;413;cultural;settlement;
27;Water resources;410;biophysical;hydrology;
66;Track;317;cultural;land use;
306;Glacial landform;316;biophysical;landform;
97;Natural environment;309;sense of place;attachements;
97;Natural environment;309;biophysical;land cover;
30;Watercourse;308;biophysical;landform;
30;Watercourse;308;biophysical;hydrology;
11;Bedrock;307;biophysical;geology;
38;Wheel;307;cultural;anthropogenic objects;
62;Cumulus;293;perceptual;weather;
89;Motor vehicle;291;cultural;anthropogenic objects;
200;Road surface;286;cultural;land use;
103;Atmospheric phenomenon;277;perceptual;atmospheric conditions;
65;Electricity;275;unclassified;unclassified;
64;Geological phenomenon;273;biophysical;landform;
111;Mode of transport;265;cultural;anthropogenic objects;
82;Leisure;264;activities;activities;
198;Facade;261;cultural;infrastructure;
98;Travel;256;activities;activities;
9;Grassland;245;biophysical;flora;
183;Plant community;238;biophysical;flora;
67;Railway;237;cultural;infrastructure;
36;Tire;236;cultural;anthropogenic objects;
4;Land lot;229;cultural;land use;
104;Outdoor recreation;225;activities;activities;
85;Recreation;213;activities;activities;
142;Vegetation;209;biophysical;flora;
75;Sports equipment;206;activities;activities;
75;Sports equipment;206;cultural;anthropogenic objects;
91;Asphalt;205;cultural;infrastructure;
60;Atmosphere;203;sense of place;feeling;
60;Atmosphere;203;biophysical;climate;
29;Fluvial landforms of streams;198;biophysical;geology;
29;Fluvial landforms of streams;198;biophysical;landform;
73;Biome;198;biophysical;land cover;
260;Mountain range;190;biophysical;landform;
18;Property;189;cultural;land use;
28;Body of water;187;biophysical;hydrology;
6;Font;183;cultural;infrastructure;falls Brunnen gemeint
118;Car;178;cultural;anthropogenic objects;
192;Azure;174;perceptual;color / vision;
59;Formation;169;perceptual;pattern;
31;Bank;168;cultural;infrastructure;
129;Sunlight;164;perceptual;atmospheric conditions;
144;People in nature;161;activities;activities;
144;People in nature;161;biophysical;fauna;
143;World;155;unclassified;unclassified;
84;Tints and shades;154;perceptual;color / vision;
156;Rectangle;150;perceptual;pattern;
169;Flower;150;biophysical;flora;
153;Branch;146;biophysical;flora;
13;Terrestrial plant;144;biophysical;flora;
113;Fixture;144;cultural;anthropogenic objects;falls Befestigung gemeint
305;Ski Equipment;144;cultural;anthropogenic objects;
212;Automotive lighting;140;cultural;anthropogenic objects;
212;Automotive lighting;140;perceptual;color / vision;
254;City;140;cultural;settlement;
44;Twig;136;biophysical;flora;
255;Infrastructure;134;cultural;infrastructure;
184;Road;128;cultural;infrastructure;
41;Helmet;126;cultural;anthropogenic objects;
180;Table;125;cultural;anthropogenic objects;
585;Winter sport;125;activities;activities;
90;Automotive tire;124;cultural;anthropogenic objects;
177;Event;122;unclassified;unclassified;
127;Art;120;unclassified;unclassified;
253;Gas;120;cultural;anthropogenic objects;
253;Gas;120;perceptual;smell;
88;Green;116;perceptual;color / vision;
269;Architecture;112;cultural;settlement;
399;Urban design;109;perceptual;color / vision;
12;Trunk;107;biophysical;flora;
58;Thoroughfare;107;cultural;infrastructure;
15;Groundcover;105;biophysical;land cover;
133;Smile;105;sense of place;feeling;
72;Rolling;104;activities;activities;
250;Chair;103;cultural;anthropogenic objects;
22;Neighbourhood;100;cultural;settlement;
216;Light;99;perceptual;color / vision;
117;Land vehicle;96;cultural;anthropogenic objects;
234;Valley;95;biophysical;landform;
47;Tableware;94;cultural;anthropogenic objects;
96;Door;94;cultural;settlement;
215;Daytime;93;cultural;time depth;
290;Automotive design;91;perceptual;color / vision;
205;Leaf;89;biophysical;flora;
154;Black-and-white;88;perceptual;color / vision;
120;Interior design;87;perceptual;color / vision;
74;Goggles;83;cultural;anthropogenic objects;
186;Rural area;83;unclassified;unclassified;
263;Eyewear;79;cultural;anthropogenic objects;
115;Shade;78;perceptual;texture;
63;Horizon;77;perceptual;color / vision;
331;Evergreen;77;biophysical;land cover;
151;White;76;perceptual;color / vision;
311;Flooring;76;cultural;infrastructure;
141;Blue;74;perceptual;color / vision;
677;Ski;74;activities;activities;
286;Roof;73;cultural;settlement;
313;Bird;73;biophysical;fauna;
68;Locomotive;72;cultural;anthropogenic objects;
361;Food;72;unclassified;unclassified;
196;Wall;71;cultural;infrastructure;
326;Residential area;71;cultural;settlement;
247;Fence;69;cultural;infrastructure;
81;T-shirt;68;cultural;anthropogenic objects;
235;Furniture;68;cultural;anthropogenic objects;
528;Beak;68;biophysical;fauna;
108;Working animal;67;cultural;domesticated animals;
152;Black;67;perceptual;color / vision;
328;Tower;67;cultural;infrastructure;
373;Nunatak;67;biophysical;landform;
288;Coastal and oceanic landforms;65;biophysical;landform;
32;Bridge;64;cultural;infrastructure;
116;Automotive exterior;64;cultural;anthropogenic objects;
35;Bicycles--Equipment and supplies;63;cultural;anthropogenic objects;
109;Fawn;63;perceptual;color / vision;
137;Sunglasses;63;cultural;anthropogenic objects;
226;Line;61;perceptual;pattern;
242;Petal;61;biophysical;flora;
94;Lighting;60;perceptual;atmospheric conditions;
176;Fun;60;sense of place;feeling;
303;Flowering plant;58;biophysical;flora;
404;Composite material;57;unclassified;unclassified;
166;Jacket;56;cultural;anthropogenic objects;
256;Street light;55;cultural;infrastructure;
266;Ingredient;55;unclassified;unclassified;
278;Hood;55;cultural;settlement;
262;Vision care;54;unclassified;unclassified;
360;Hill;52;biophysical;landform;
229;Signage;51;unclassified;unclassified;
341;Sports;51;unclassified;unclassified;
406;Brick;51;unclassified;unclassified;
34;Bicycle;50;unclassified;unclassified;
261;Glasses;50;unclassified;unclassified;
61;Air travel;49;unclassified;unclassified;
232;Plain;49;biophysical;landform;
398;Photograph;49;unclassified;unclassified;
550;Tail;49;unclassified;unclassified;
344;Jeans;48;cultural;anthropogenic objects;
43;Terrestrial animal;47;biophysical;fauna;
132;Hat;46;cultural;anthropogenic objects;
224;Waterfall;46;biophysical;hydrology;
275;Winter;46;cultural;time depth;
301;Carnivore;46;biophysical;fauna;
375;Real estate;46;cultural;settlement;
364;Plate;45;cultural;anthropogenic objects;
405;Grey;45;perceptual;color / vision;
420;Musical instrument;45;cultural;anthropogenic objects;
14;Sculpture;44;sense of place;history;
14;Sculpture;44;cultural;anthropogenic objects;
16;Outcrop;44;unclassified;unclassified;
207;Gesture;44;unclassified;unclassified;
298;Dog breed;44;cultural;domesticated animals;
302;Fog;44;perceptual;weather;
386;Pattern;44;perceptual;pattern;
725;Feather;44;unclassified;unclassified;
193;Dusk;43;perceptual;atmospheric conditions;
240;Floor;43;unclassified;unclassified;
367;Cuisine;43;unclassified;unclassified;
33;Bicycle helmet;42;cultural;anthropogenic objects;
155;Style;42;unclassified;unclassified;
274;Metal;42;unclassified;unclassified;
350;Electric blue;42;unclassified;unclassified;
45;Drinkware;41;unclassified;unclassified;
546;Dog;41;cultural;domesticated animals;
69;Railroad car;40;cultural;anthropogenic objects;
365;Recipe;40;cultural;anthropogenic objects;
539;Watercraft;40;biophysical;hydrology;
539;Watercraft;40;biophysical;hydrology;
123;Symmetry;39;perceptual;pattern;
329;Horse;39;cultural;domesticated animals;
426;Fluid;39;unclassified;unclassified;
518;Music;39;unclassified;unclassified;
604;Concrete;39;unclassified;unclassified;
78;Shorts;38;cultural;anthropogenic objects;
319;Overhead power line;38;cultural;infrastructure;
384;Meadow;38;biophysical;land cover;
567;Hardwood;38;unclassified;unclassified;
756;Ski pole;38;cultural;infrastructure;
40;Bicycle frame;37;cultural;anthropogenic objects;
139;Sports gear;37;cultural;anthropogenic objects;
194;Transport hub;37;cultural;anthropogenic objects;
231;Brickwork;37;activities;activities;
245;Herbaceous plant;37;biophysical;flora;
258;Happy;37;sense of place;feeling;
362;Dishware;37;cultural;anthropogenic objects;
425;Liquid;37;perceptual;feel;
170;Cottage;36;cultural;settlement;
191;Afterglow;36;perceptual;atmospheric conditions;
202;Flag;36;sense of place;identity;
355;Outerwear;36;cultural;anthropogenic objects;
396;Botany;36;biophysical;flora;
409;Material property;36;unclassified;unclassified;
514;Musician;36;activities;activities;
755;Skier;36;activities;activities;
163;Luggage and bags;35;cultural;anthropogenic objects;
201;Vertebrate;35;biophysical;fauna;
304;Shrub;35;biophysical;flora;
112;Public transport;34;cultural;anthropogenic objects;
236;Comfort;34;sense of place;feeling;
397;Woody plant;34;biophysical;flora;
491;Crowd;34;unclassified;unclassified;
538;Boat;34;cultural;anthropogenic objects;
754;Ski boot;34;cultural;anthropogenic objects;
195;Flowerpot;33;cultural;anthropogenic objects;
195;Flowerpot;33;biophysical;flora;
167;Tent;32;cultural;anthropogenic objects;
220;Engineering;32;activities;activities;
264;Headgear;32;cultural;anthropogenic objects;
279;Vehicle registration plate;32;cultural;anthropogenic objects;
470;Soil;32;biophysical;soil;
307;Organism;31;biophysical;flora;
307;Organism;31;biophysical;fauna;
325;Hiking equipment;31;cultural;anthropogenic objects;
222;Monochrome photography;30;perceptual;perceptual;
42;Forest;29;biophysical;flora;
87;Bicycle handlebar;29;cultural;anthropogenic objects;
369;Dish;29;cultural;anthropogenic objects;
403;Wing;29;unclassified;unclassified;
407;Parallel;29;perceptual;pattern;
99;Arch;28;cultural;infrastructure;
333;Street fashion;28;perceptual;color / vision;
172;Sleeve;27;cultural;anthropogenic objects;
219;Monochrome;27;perceptual;perceptual;
270;Public space;27;unclassified;unclassified;
299;Mammal;27;biophysical;fauna;
324;Morning;27;cultural;time depth;
548;Companion dog;27;cultural;domesticated animals;
86;Bicycle wheel;26;cultural;anthropogenic objects;
100;Arch bridge;26;cultural;infrastructure;
101;Aqueduct;26;cultural;infrastructure;
126;Ceiling;26;cultural;settlement;
149;Glass;26;perceptual;color / vision;
182;Yellow;26;perceptual;color / vision;
209;Circle;26;perceptual;pattern;
315;Clothing;26;cultural;anthropogenic objects;
354;Aircraft;26;cultural;anthropogenic objects;
422;Room;26;cultural;infrastructure;
726;Songbird;26;biophysical;fauna;
726;Songbird;26;perceptual;sound;
76;Glove;25;cultural;anthropogenic objects;
197;Landmark;25;sense of place;identity;
210;Darkness;25;perceptual;color / vision;
272;Traffic sign;25;cultural;infrastructure;
345;Trousers;25;cultural;anthropogenic objects;
135;Sports uniform;24;cultural;anthropogenic objects;
146;Brown;24;perceptual;color / vision;
157;Astronomical object;24;biophysical;geology;
178;Sharing;24;activities;activities;
179;Bottle;24;cultural;anthropogenic objects;
147;Deciduous;23;biophysical;flora;
203;Pole;23;cultural;infrastructure;
223;Machine;23;cultural;anthropogenic objects;
334;Racing;23;activities;activities;
52;Drink;22;unclassified;unclassified;
77;Shoe;22;cultural;anthropogenic objects;
124;Temple;22;cultural;infrastructure;
161;Midnight;22;cultural;time depth;
227;Space;22;unclassified;unclassified;
388;Horse supplies;22;cultural;domesticated animals;
456;Wood stain;22;perceptual;color / vision;
471;Rock;22;biophysical;geology;
569;Clock;22;cultural;time depth;
230;Display device;21;cultural;anthropogenic objects;
237;Textile;21;cultural;anthropogenic objects;
370;Wind wave;21;biophysical;hydrology;
385;Windsports;21;activities;activities;
400;Polar ice cap;21;biophysical;land cover;
492;Riparian zone;21;biophysical;land cover;
549;Snout;21;cultural;domesticated animals;
596;Turret;21;cultural;infrastructure;
653;Horse tack;21;cultural;land use;
121;Houseplant;20;biophysical;flora;
185;Adaptation;20;unclassified;unclassified;
208;Tunnel;20;biophysical;infrastructure;
213;Fuel tank;20;cultural;anthropogenic objects;
358;Social group;20;unclassified;unclassified;
415;Serveware;20;cultural;anthropogenic objects;
37;Bicycle jersey;19;cultural;anthropogenic objects;
39;Bicycle clothing;19;cultural;anthropogenic objects;
48;Barware;19;cultural;anthropogenic objects;
131;Footwear;19;cultural;anthropogenic objects;
136;Cap;19;cultural;anthropogenic objects;
188;Shirt;19;cultural;anthropogenic objects;
246;Annual plant;19;biophysical;flora;
316;Picture frame;19;cultural;anthropogenic objects;
383;Wind;19;perceptual;feel;
444;Statue;19;sense of place;history;
654;Sailing;19;activities;activities;
679;Parachute;19;activities;activities;
717;Advertising;19;unclassified;unclassified;
80;Flash photography;18;activities;activities;
128;Medieval architecture;18;sense of place;history;
128;Medieval architecture;18;cultural;settlement;
145;Natural material;18;unclassified;unclassified;
248;Purple;18;perceptual;color / vision;
314;Community;18;unclassified;unclassified;
374;Cooking;18;activities;activities;
497;Bicycle tire;18;cultural;anthropogenic objects;
846;Spring;18;cultural;time depth;
1260;Music stand;18;unclassified;unclassified;
1264;Folk instrument;18;cultural;anthropogenic objects;
92;Motorcycle;17;cultural;anthropogenic objects;
110;Grazing;17;activities;activities;
159;Science;17;unclassified;unclassified;
312;Paint;17;cultural;anthropogenic objects;
