;word;count;category;subcategory
484;landschaft;76;biophysical;landform
142;schweiz;68;toponym;toponym
15;lavaux;63;toponym;toponym
4;bern;47;toponym;toponym
44;werden;42;unclassified;unclassified
25;schweizer;40;toponym;toponym
435;natur;32;biophysical;land cover
132;zürich;30;toponym;toponym
436;gut;29;sense of place;associations
503;umwelt;27;biophysical;land cover
813;geben;27;unclassified;unclassified
502;bundesamt;26;cultural;infrastructure
238;mehr;24;perceptual;pattern
1381;neu;24;perceptual;color / vision
197;weit;23;unclassified;unclassified
296;immer;23;cultural;time depth
897;heute;23;cultural;time depth
1851;aargau;23;toponym;toponym
359;stadt;22;cultural;settlement
449;stehen;22;unclassified;unclassified
26;alpen;21;toponym;toponym
85;kommen;21;unclassified;unclassified
272;sowie;21;unclassified;unclassified
316;zeigen;21;perceptual;color / vision
178;alt;20;perceptual;color / vision
201;erhalten;20;sense of place;attachment
205;lausanne;20;toponym;toponym
156;jahre;19;cultural;time depth
1472;heimatschutz;19;sense of place;attachment
80;liegen;18;unclassified;unclassified
325;aufgabe;18;unclassified;unclassified
637;möglich;18;biophysical;land cover
807;natürlich;18;unclassified;unclassified
1439;landwirtschaft;18;cultural;land use
428;tourismus;17;cultural;infrastructure
482;schutz;17;sense of place;attachment
1082;architektur;17;cultural;settlement
188;wenig;16;perceptual;pattern
626;hoch;16;perceptual;color / vision
690;land;16;biophysical;land cover
863;mensch;16;cultural;settlement
953;bieten;16;unclassified;unclassified
1861;basel;16;toponym;toponym
7;gallen;15;toponym;toponym
69;stellen;15;unclassified;unclassified
144;geschichte;15;sense of place;history
332;entstehen;15;sense of place;history
432;landschaften;15;biophysical;landform
631;ziehen;15;unclassified;unclassified
736;sehen;15;perceptual;color / vision
1001;genfersee;15;toponym;toponym
1045;menschen;15;cultural;settlement
1195;sein;15;unclassified;unclassified
1402;schweizerisch;15;toponym;toponym
18;bahn;14;cultural;infrastructure
131;kanton;14;cultural;land use
172;gemeinden;14;cultural;land use
312;neue;14;perceptual;color / vision
481;stiftung;14;sense of place;attachment
864;gestalten;14;perceptual;color / vision
2071;wer;14;unclassified;unclassified
4244;abteilung;14;cultural;infrastructure
618;erst;13;cultural;time depth
812;art;13;unclassified;unclassified
876;verstehen;13;sense of place;identity
878;müssen;13;unclassified;unclassified
1316;teil;13;unclassified;unclassified
1460;folgend;13;perceptual;pattern
1611;bild;13;perceptual;color / vision
2369;viel;13;perceptual;pattern
2876;kantone;13;cultural;land use
2945;planen;13;cultural;infrastructure
179;schon;12;cultural;time depth
279;drei;12;perceptual;pattern
356;ag;12;toponym;toponym
488;kaum;12;perceptual;pattern
720;etwa;12;unclassified;unclassified
758;zug;12;toponym;toponym
787;zug;12;cultural;infrastructure
805;verschieden;12;perceptual;pattern
861;jura;12;toponym;toponym
1323;wein;12;cultural;anthropogenic objects
2007;buch;12;cultural;anthropogenic objects
2044;führen;12;cultural;infrastructure
2113;entwicklung;12;sense of place;history
17;rhätische;11;toponym;toponym
50;beid;11;perceptual;pattern
95;bauen;11;cultural;settlement
186;schön;11;perceptual;color / vision
270;bedeutung;11;sense of place;attachment
271;raumplanung;11;cultural;land use
302;fragen;11;unclassified;unclassified
729;zeit;11;cultural;time depth
1125;finden;11;;
1271;gelten;11;unclassified;unclassified
1709;beim;11;unclassified;unclassified
2033;anhand;11;unclassified;unclassified
128;seit;10;cultural;time depth
408;ganz;10;perceptual;texture
499;bafu;10;cultural;infrastructure
509;wald;10;biophysical;flora
510;grossen;10;perceptual;color / vision
600;mögen;10;perceptual;feeling
617;setzen;10;unclassified;unclassified
683;können;10;unclassified;unclassified
794;bleiben;10;sense of place;history
808;wirtschaftlich;10;cultural;infrastructure
925;wohl;10;unclassified;unclassified
1020;bringen;10;unclassified;unclassified
1043;region;10;cultural;land use
1168;dürfen;10;unclassified;unclassified
1637;kultur;10;cultural;infrastructure
1646;national;10;sense of place;identity
1676;sollen;10;unclassified;unclassified
14;bellinzona;9;toponym;toponym
88;zürcher;9;toponym;toponym
157;genau;9;perceptual;pattern
237;schönheit;9;perceptual;color / vision
259;institut;9;cultural;infrastructure
317;gerade;9;cultural;time depth
317;gerade;9;perceptual;pattern
376;karten;9;cultural;anthropogenic objects
411;gehen;9;unclassified;unclassified
587;jahren;9;cultural;time depth
750;lassen;9;unclassified;unclassified
824;bilden;9;cultural;settlement
898;geographie;9;unclassified;unclassified
913;dörfer;9;cultural;settlement
977;leben;9;biophysical;fauna
1046;ort;9;cultural;settlement
1341;bestimmen;9;unclassified;unclassified
1661;sagen;9;unclassified;unclassified
1884;gebiet;9;cultural;land use
2243;val;9;biophysical;landform
2968;zustehen;9;unclassified;unclassified
2969;morgen;9;cultural;time depth
3295;erde;9;biophysical;land cover
5127;vaud;9;toponym;toponym
5679;appenzell;9;toponym;toponym
137;thurgau;8;toponym;toponym
170;historisch;8;sense of place;history
214;fahren;8;cultural;infrastructure
253;adresse;8;cultural;infrastructure
299;darstellen;8;perceptual;color / vision
323;ökologisch;8;unclassified;unclassified
343;see;8;biophysical;hydrology
367;beiträge;8;unclassified;unclassified
392;scheinen;8;perceptual;color / vision
424;basler;8;toponym;toponym
508;früh;8;;
622;heimat;8;;
658;einzeln;8;;
788;nehmen;8;;
966;kurz;8;;
976;begriff;8;;
1034;seiten;8;;
1120;inszenierungen;8;;
1158;mein;8;;
1232;fribourg;8;;
1342;kulturlandschaft;8;;
1444;beteiligen;8;;
1559;les;8;;
1632;liste;8;;
1712;allgemein;8;;
1725;fr;8;;
1858;gesch;8;;
1882;letzt;8;;
2076;graubünden;8;;
2647;wandel;8;;
3841;paysage;8;;
4243;kantons;8;;
5742;handelsregister;8;;
5854;gmbh;8;;
2;siehe;7;;
36;solothurn;7;;
54;waadt;7;;
108;gesellschaft;7;;
141;beispiel;7;;
180;jahrhundert;7;;
230;zahlreiche;7;;
267;geographisch;7;;
278;dabei;7;;
288;raum;7;;
337;sowohl;7;;
395;bevölkerung;7;;
401;folgen;7;;
405;stark;7;;
437;licht;7;;
479;jahr;7;;
492;landes;7;;
517;rund;7;;
523;seite;7;;
548;form;7;;
577;nie;7;;
583;reihe;7;;
589;künstler;7;;
726;fast;7;;
831;wirtschaftslandschaft;7;;
838;beispiele;7;;
853;freiberge;7;;
909;fallen;7;;
935;ganze;7;;
951;berge;7;;
1018;besonders;7;;
1041;kulturell;7;;
1156;tagung;7;;
1193;tun;7;;
1220;neben;7;;
1281;oft;7;;
1312;betrachten;7;;
1380;thema;7;;
1441;entsprechend;7;;
1530;suisse;7;;
1596;schaffhausen;7;;
1622;suchen;7;;
1652;nachhaltig;7;;
1677;landschaftsschutz;7;;
1705;schützen;7;;
1822;römisch;7;;
1832;bl;7;;
1871;ii;7;;
1896;formen;7;;
2153;oben;7;;
2472;inhalt;7;;
2652;frau;7;;
3255;luzern;7;;
3543;wesentlich;7;;
3722;patrimoine;7;;
5745;commerce;7;;
5750;cantons;7;;
5751;cantoni;7;;
5754;genève;7;;
3;altstadt;6;;
9;johann;6;;
10;müstair;6;;
32;tektonikarena;6;;
33;sardona;6;;
35;präsentieren;6;;
61;halten;6;;
83;ähnlich;6;;
98;eigene;6;;
127;weinbau;6;;
154;mittel;6;;
240;prägen;6;;
261;landschaftsplanung;6;;
274;aufzeigen;6;;
276;rahmen;6;;
301;zusammenhang;6;;
363;jahres;6;;
427;machen;6;;
483;sl;6;;
496;öffentlich;6;;
500;buwal;6;;
513;wasser;6;;
516;zählen;6;;
571;maler;6;;
639;gegenden;6;;
645;ernst;6;;
671;unterschiedlich;6;;
676;haus;6;;
686;architekten;6;;
874;wesen;6;;
879;objekte;6;;
881;welt;6;;
945;kommentar;6;;
1013;umfasst;6;;
1021;band;6;;
1026;reisen;6;;
1086;denkmalpflege;6;;
1121;selber;6;;
1187;tessiner;6;;
1276;erkennen;6;;
1278;pays;6;;
1339;zukunft;6;;
1407;ja;6;;
1434;wegleitung;6;;
1436;bericht;6;;
1447;meliorationen;6;;
1483;architekt;6;;
1519;locle;6;;
1523;pfahlbauten;6;;
1554;neuchâtel;6;;
1599;bekannt;6;;
1630;fahrt;6;;
1678;haben;6;;
1696;gefährden;6;;
1697;fläche;6;;
1731;schließen;6;;
1766;valais;6;;
1796;blick;6;;
1825;aufnehmen;6;;
1857;herrn;6;;
1915;ch;6;;
1950;grund;6;;
1953;bereits;6;;
2020;welterbe;6;;
2053;maria;6;;
2133;interesse;6;;
2151;schweizerische;6;;
2322;gemeinsam;6;;
2379;ende;6;;
2385;nennen;6;;
2405;ten;6;;
2575;verfügung;6;;
2681;juni;6;;
2728;projekt;6;;
2830;dezember;6;;
2868;jung;6;;
2943;meist;6;;
3244;bund;6;;
3305;lässt;6;;
3419;klein;6;;
3708;hotel;6;;
3776;gewässer;6;;
3900;reichen;6;;
4245;dl;6;;
4254;barbara;6;;
5744;registre;6;;
0;unesco;5;;
5;stiftsbezirk;5;;
11;gr;5;;
12;burgen;5;;
28;monte;5;;
29;san;5;;
30;giorgio;5;;
38;einerseits;5;;
99;reben;5;;
165;bezeichnung;5;;
175;weisen;5;;
181;bestehend;5;;
224;wirklich;5;;
233;heimatschutzes;5;;
248;pflegen;5;;
265;schmid;5;;
286;entsprechen;5;;
294;güterzusammenlegung;5;;
335;instrument;5;;
362;literatur;5;;
371;bodensee;5;;
391;strassen;5;;
400;zunehmen;5;;
403;siedlungen;5;;
430;bildern;5;;
441;naturschönheiten;5;;
452;werk;5;;
495;mai;5;;
522;leiten;5;;
541;forschung;5;;
565;faszinierend;5;;
572;bilder;5;;
590;karl;5;;
591;urban;5;;
597;darin;5;;
610;ab;5;;
612;rechte;5;;
625;locken;5;;
630;italien;5;;
679;erste;5;;
684;gebäude;5;;
700;garen;5;;
722;wanderwege;5;;
723;schöne;5;;
728;einfach;5;;
733;april;5;;
841;kleine;5;;
862;mittelland;5;;
882;heraus;5;;
883;schaffen;5;;
931;wachsen;5;;
970;je;5;;
1050;hrsg;5;;
1064;einzigartig;5;;
1067;bergen;5;;
1069;km;5;;
1070;lang;5;;
1110;umgang;5;;
1119;denkmal;5;;
1150;ziel;5;;
1202;aarau;5;;
1214;anzahl;5;;
1259;klima;5;;
1262;dar;5;;
1275;dadurch;5;;
1296;cöte;5;;
1311;andererseits;5;;
1334;überall;5;;
1428;präsident;5;;
1440;versuchen;5;;
1449;schützenswerte;5;;
1450;ortsbild;5;;
1457;arbeit;5;;
1461;beispielen;5;;
1470;geeignet;5;;
1475;erhaltung;5;;
1477;erschliessung;5;;
1510;dans;5;;
1522;prähistorische;5;;
1538;del;5;;
1598;hinaus;5;;
1620;leihen;5;;
1672;tragen;5;;
1683;nötigen;5;;
1803;raurica;5;;
1809;augusta;5;;
1856;christ;5;;
1859;bauerngartens;5;;
