;word;count;category
3;,;2814;
63;.;2175;
0;und;1093;
6;der;1050;
4;die;903;
18;:;553;
30;in;489;
20;von;386;
253;-;337;
37;des;334;
67;den;328;
17;);315;
12;(;313;
110;zu;285;
25;das;255;
172;im;225;
116;für;222;
78;mit;221;
211;Die;212;
435;ist;208;
210;«;205;
213;»;204;
142;sich;199;
463;eine;163;
5;auf;155;
106;dem;155;
195;als;140;
954;Landschaft;137;perceptual
14;auch;125;
75;werden;125;perceptual
383;an;122;
480;ein;119;
174;aus;112;
11;sind;111;
466;de;111;
593;nicht;109;
489;wie;107;
296;Schweiz;105;toponym
450;einer;98;
178;über;96;
512;es;94;
679;?;94;
684;Das;94;
38;Lavaux;84;toponym
442;wird;83;
15;S.;82;
584;sie;80;
85;Der;79;
378;nach;73;
161;oder;71;
165;bei;71;
96;am;69;
371;In;68;
338;zum;67;
675;aber;67;
766;Nr;67;
419;durch;64;
462;man;63;
2965;/;61;
135;so;60;
243;um;60;
624;zur;60;
21;Bern;59;toponym
160;hat;59;
52;Schweizer;57;toponym
1070;nur;57;
69;einem;53;
1619;—;53;
2080;et;53;
261;1;52;
642;du;52;
907;vom;51;
186;dass;49;
3399;];49;
183;haben;48;
184;wir;48;
3396;[;48;
313;unter;47;
468;einen;47;
64;Sie;44;
157;er;44;
280;Zürich;44;toponym
653;kann;44;
1140;bis;44;
1459;vor;44;
781;noch;43;
1389;dieser;42;
1584;ihre;42;
485;Es;38;
501;welche;38;
872;Natur;38;biophysical
1480;Ein;38;
484;war;37;
538;2;37;
47;La;36;
420;sein;36;
345;Jahre;35;
461;wo;35;
502;mehr;35;
640;la;35;
1003;Umwelt;35;biophysical
1083;ihrer;35;
1340;3;35;
317;>;34;
689;heute;34;
986;diese;34;
1113;*;34;
1436;uns;34;
271;eines;33;
408;Lausanne;33;toponym
1002;Bundesamt;33;cultural
664;können;32;
718;';32;
869;Landschaften;32;cultural
1729;5;32;
724;Stadt;31;cultural
2096;|;31;
28;St.;30;
300;H.;29;
698;Abb;29;
1683;Im;29;
1808;Eine;29;
100;zwischen;28;
607;immer;28;
3604;Aargau;28;toponym
53;Alpen;27;toponym
567;sowie;27;
596;sondern;27;
785;Menschen;27;cultural
1907;wenn;27;
113;wurde;26;
1055;Heimatschutz;26;cultural
2815;Landwirtschaft;26;cultural
152;Land;25;biophysical
813;Diese;25;
279;Kanton;24;cultural
565;Bedeutung;24;sense of place
613;diesem;24;
1320;Architektur;24;cultural
1486;kommt;24;
1655;6;24;
2092;11;24;
2570;le;24;
688;Kulturlandschaft;23;cultural
778;Natur-;23;biophysical
865;Tourismus;23;cultural
1719;ihr;23;
2482;gibt;23;
49;Le;22;
350;wurden;22;
564;seiner;22;
952;Schutz;22;biophysical
443;seine;21;
516;erhalten;21;sense of place
661;Aufgabe;21;cultural
719;AG;21;toponym
1404;etwa;21;
1417;ich;21;
1424;Zeit;21;cultural
2545;Teil;21;
65;alle;20;
247;7;20;
299;Geschichte;20;sense of place
950;Stiftung;20;cultural
995;wieder;20;
2084;à;20;
8276;Jg;20;
1;drei;19;
384;alten;19;
1152;diesen;19;
1980;Buch;19;cultural
2232;2004;19;
2839;anhand;19;
3026;2000;19;
3992;@;19;
4068;Wir;19;
4674;1994;19;
11535;ROI;19;
24;Gallen;18;toponym
68;nun;18;
155;allem;18;
188;dort;18;
458;sehr;18;
648;Wie;18;
674;zeigt;18;
685;Bild;18;perceptual
789;Mit;18;
1115;9;18;
1642;ganze;18;
1708;Geographie;18;biophysical
1810;unserer;18;
1838;Von;18;
1844;Gemeinden;18;
1900;bieten;18;
2089;Entwicklung;18;perceptual
2897;Dr.;18;
3035;en;18;
4762;Inhalt;18;perceptual
119;aller;17;
660;hier;17;
963;kaum;17;perceptual
1004;So;17;
1108;daß;17;
1428;will;17;
1580;Art;17;
1663;Mensch;17;cultural
1795;Auch;17;
1964;Genfersee;17;toponym
2008;Seiten;17;
2292;Kultur;17;cultural
2556;Wein;17;cultural
2621;sei;17;
3357;Kantone;17;
3619;Basel;17;cultural
511;Und;16;
528;Jahr;16;cultural
542;u.;16;
612;muss;16;
635;les;16;
703;See;16;biophysical
918;ohne;16;
1027;Seite;16;
1356;&;16;
1714;Wirklichkeit;16;perceptual
1921;Wer;16;
1937;Begriff;16;perceptual
2098;2001;16;
2104;2008;16;
2254;darf;16;
2758;keine;16;
3025;di;16;
3547;Basel-;16;toponym
7419;31;16;
8266;Abteilung;16;cultural
41;Bahn;15;cultural
129;also;15;
250;4;15;
304;8;15;
364;15;15;
522;Tagung;15;cultural
558;A.;15;
1138;Jahren;15;perceptual
1408;hin;15;
1481;Zug;15;cultural
2549;gegen;15;
2712;neuen;15;
2727;E.;15;
3377;dieses;15;
3391;p.;15;
84;'';14;
122;beiden;14;
385;schon;14;
476;dann;14;
628;neue;14;
643;paysage;14;cultural
1012;grossen;14;
1069;doch;14;
1208;sollte;14;
1357;viel;14;
1828;allen;14;
1946;soll;14;
2041;Ort;14;
2191;Inszenierungen;14;perceptual
2363;seinen;14;
2452;Vaud;14;toponym
2972;10;14;
4200;Aus;14;
4897;Sicht;14;perceptual
8543;;14;
125;Waadt;13;toponym
205;Zürcher;13;toponym
272;seit;13;
281;20;13;
292;16;13;
319;%;13;
363;S;13;
391;Wald;13;biophysical
599;Raum;13;perceptual
704;1938;13;
964;andere;13;
998;BAFU;13;
1053;Landschaftsschutz;13;cultural
1068;liegen;13;
1345;A;13;
1412;Wenn;13;
1551;2007;13;
1581;geben;13;
1661;Jura;13;toponym
1685;müssen;13;
2093;1983;13;
2680;e;13;
2810;Wegleitung;13;cultural
3070;Suisse;13;toponym
3365;beim;13;
3532;letzten;13;perceptual
3657;Gebiet;13;biophysical
4333;Val;13;biophysical
5060;12;13;
5438;+;13;
97;19;12;
402;oft;12;
423;18;12;
652;zeigen;12;
1015;Wasser;12;biophysical
1207;ziehen;12;
1379;liegt;12;
1421;habe;12;
1426;steht;12;
1690;Welt;12;
1707;gestalten;12;sense of place
1724;betrachtet;12;perceptual
1763;damit;12;
2032;ihren;12;
2038;Region;12;perceptual
2255;Welche;12;
2284;dazu;12;
2299;ganz;12;
2350;etwas;12;
3192;Kantons;12;cultural
3571;Kultur-;12;cultural
5601;1977;12;
5725;geplant;12;
5788;Zustand;12;perceptual
5789;morgen;12;
40;Rhätische;11;cultural
127;„;11;
234;Gesellschaft;11;cultural
285;Thurgau;11;toponym
376;Er;11;
399;je;11;
400;viele;11;
496;Heimatschutzes;11;cultural
566;Raumplanung;11;cultural
750;i;11;
906;was;11;
971;Landes;11;cultural
1122;vielleicht;11;
1193;ersten;11;
1214;möglich;11;
1339;¦;11;
1391;mich;11;
1399;waren;11;
1423;wenig;11;
1473;sehen;11;
1823;Dörfer;11;cultural
1843;wohl;11;
2014;2009;11;
2196;finden;11;activities
2543;ihrem;11;
2740;Fr;11;
2781;!;11;
2806;Was;11;
2923;il;11;
3341;Bund;11;
3410;14;11;
3654;100;11;
3842;selbst;11;
3929;nationaler;11;cultural
4030;Graubünden;11;toponym
4137;Ende;11;perceptual
5357;Erde;11;biophysical
5389;folgende;11;
7149;FLS;11;
8100;Brugg;11;
8292;al;11;
11333;R01;11;
73;Auf;10;
137;unser;10;
175;Arbeit;10;cultural
209;21;10;
265;M.;10;
267;Vom;10;
295;Beispiel;10;perceptual
329;60;10;
387;Jahrhundert;10;sense of place
493;zahlreiche;10;perceptual
530;Denkmalpflege;10;perceptual
544;Adresse;10;
546;Prof.;10;
550;Institut;10;cultural
615;Frage;10;cultural
741;Beiträge;10;cultural
769;W.;10;
937;kein;10;
970;unseres;10;
977;Appenzell;10;toponym
1065;Sein;10;
1110;nie;10;
1135;Reihe;10;cultural
1306;Haus;10;cultural
1309;erste;10;perceptual
1316;Architekten;10;cultural
1416;Aber;10;
1601;zusammen;10;
1607;Wirtschaftslandschaft;10;cultural
1614;Beispiele;10;perceptual
1710;Erkenntnis;10;perceptual
1825;50;10;
1983;umfasst;10;perceptual
1987;besonders;10;perceptual
1988;gut;10;
2103;Albula/Bernina;10;toponym
2257;Installationen;10;cultural
2285;Fragen;10;cultural
2477;natürliche;10;biophysical
2563;Um;10;
2708;könnte;10;
3030;2011;10;
3149;Schaffhausen;10;toponym
3227;denen;10;
3308;sollen;10;
3762;bereits;10;
3996;Schweizerische;10;toponym
4154;Interesse;10;perceptual
4187;oben;10;
4768;denn;10;
5124;Wandel;10;sense of place
5336;Projekt;10;cultural
5605;Partie;10;
5650;Fonds;10;
11346;GmbH;10;
11449;41;10;
32;GR;9;
35;Bellinzona;9;toponym
91;B.;9;
93;m;9;
98;Oktober;9;cultural
221;bauen;9;cultural
347;Zur;9;
395;deren;9;
403;weit;9;perceptual
424;dessen;9;
445;ins;9;
500;Schönheit;9;perceptual
554;Landschaftsplanung;9;cultural
654;gerade;9;
733;d.;9;
752;Karten;9;cultural
782;rund;9;perceptual
807;Als;9;
861;Basler;9;toponym
874;Licht;9;biophysical
997;worden;9;
1000;BUWAL;9;
1018;entstanden;9;sense of place
1143;Künstler;9;cultural
1154;einmal;9;
1182;ab;9;
1197;Heimat;9;perceptual
1206;Italien;9;toponym
1441;Luzern;9;toponym
1608;Versuch;9;cultural
1621;kleine;9;
1650;Freiberge;9;toponym
1670;wirtschaftlichen;9;cultural
1686;Objekte;9;biophysical
1692;verstanden;9;perceptual
1715;Da;9;
1822;Einwohner;9;cultural
1992;stellt;9;
2022;historischen;9;sense of place
2192;selber;9;
2274;schützen;9;biophysical
2428;neben;9;
2484;``;9;
2623;Zukunft;9;cultural
2847;verschiedenen;9;
2848;Forderungen;9;cultural
3274;alles;9;
3863;bilden;9;cultural
4473;Vevey;9;toponym
4622;ten;9;
4673;Ticino;9;toponym
4928;Ressource;9;cultural
5000;Verfügung;9;biophysical
5089;1976;9;
5763;Planen;9;cultural
5787;dargestellt;9;perceptual
5882;P.;9;
7167;commerce;9;cultural
7308;80;9;
7447;Karte;9;cultural
9042;Genève;9;toponym
11070;Handelsregister;9;cultural
13;siehe;8;
60;Tektonikarena;8;biophysical
61;Sardona;8;toponym
101;Städten;8;cultural
146;stellen;8;
202;kommen;8;
216;...;8;
298;f.;8;
386;13;8;
535;Architekt;8;cultural
614;Zusammenhang;8;perceptual
637;que;8;
729;Literatur;8;cultural
792;Bau;8;cultural
951;Landschafts-;8;cultural
974;Mai;8;
982;Thema;8;perceptual
990;gegenüber;8;
1007;welches;8;
1010;2006;8;
1028;stehen;8;
1061;Ausdruck;8;perceptual
1063;ja;8;
1078;Form;8;
1102;Maler;8;cultural
1104;Bilder;8;perceptual
1201;ihn;8;
1257;einzelnen;8;
1261;Auftrag;8;cultural
1291;möglichen;8;
1326;erst;8;
1327;recht;8;
1383;zwei;8;
1539;bleiben;8;
1622;Gebiete;8;biophysical
1644;Mittelland;8;toponym
1664;gestaltet;8;perceptual
1675;Nur;8;
1680;Wesen;8;perceptual
1722;Wissenschaft;8;cultural
1733;jedes;8;
1765;Bei;8;
1897;Berge;8;biophysical
2226;aufs;8;
2248;beschäftigen;8;cultural
2261;hinterlassen;8;perceptual
2264;Haltung;8;cultural
2270;all;8;
2371;grosse;8;
2407;Fribourg;8;toponym
2601;Veränderungen;8;sense of place
2607;lassen;8;perceptual
2759;schweizerischen;8;toponym
2795;Kost;8;cultural
2811;Bericht;8;cultural
2825;Meliorationen;8;
2841;Beispielen;8;cultural
3033;2003;8;
3048;Léman;8;toponym
3068;Les;8;
3311;hätte;8;
3316;nötig;8;
3469;Valais;8;toponym
3510;Blick;8;perceptual
3522;Grundlagen;8;cultural
3530;Augusta;8;
3616;Gesch;8;
3635;II;8;
3833;neu;8;
3888;111;8;
3964;Maria;8;
4520;Für;8;
4839;einige;8;
4941;meist;8;
5002;weniger;8;
5532;Dezember;8;
6376;lässt;8;
7516;Tel;8;
8279;Abb.;8;
8445;68;8;
11077;Cantons;8;
11078;Cantoni;8;
11080;Basel-Stadt;8;toponym
9;ver-;7;
19;Altstadt;7;cultural
22;Stiftsbezirk;7;cultural
29;Johann;7;toponym
31;Müstair;7;toponym
33;Burgen;7;cultural
79;Bildern;7;perceptual
102;Freiburg;7;toponym
103;Solothurn;7;toponym
105;einerseits;7;
238;22;7;
268;Weinbau;7;cultural
282;25;7;
316;Mittel;7;
372;Gemeinde;7;cultural
409;machen;7;cultural
486;wirklich;7;perceptual
571;Rahmen;7;cultural
583;Güterzusammenlegung;7;cultural
617;ob;7;
663;erfassen;7;
678;sowohl;7;
700;R.;7;
722;F.;7;
730;Jahres;7;perceptual
731;79;7;
746;Bodensee;7;toponym
747;Bad;7;activities
764;Neue;7;
800;Bevölkerung;7;cultural
820;gehen;7;
836;geht;7;
846;sur;7;
849;www;7;
927;dies;7;
947;2015;7;
1008;per;7;
1067;mag;7;
1125;Karl;7;
1127;Keller;7;
1164;Ernst;7;
1189;ihm;7;
1223;gemeinsam;7;
1253;Nach;7;
1289;entlang;7;
1330;weitgehend;7;
1341;•;7;
1366;vier;7;
1367;Teile;7;
1419;fast;7;
1560;a;7;
1673;Unter;7;
1682;verstehen;7;
1691;heraus;7;
1761;verschiedene;7;
1862;statt;7;
1890;Kommentar;7;
1926;mir;7;
1981;Vielfalt;7;perceptual
2097;Jungfrau-Aletsch;7;toponym
2247;Kulturdenkmal;7;cultural
2293;Sektion;7;cultural
2297;wäre;7;
2326;Tessiner;7;toponym
2357;Aarau;7;toponym
2358;Dieser;7;
2398;Berner;7;toponym
2408;Hier;7;
2450;pays;7;
2454;Herrn;7;
2459;Klima;7;biophysical
2464;dar;7;
2479;zwar;7;
2494;Einheit;7;
2551;Meter;7;cultural
2602;könnten;7;
2620;eingesetzt;7;
2638;gleichzeitig;7;
2639;vielen;7;
2730;Walter;7;
2792;Vertreter;7;cultural
2845;Man;7;
2977;Pfahlbauten;7;cultural
2993;patrimoine;7;
3064;Neuchâtel;7;toponym
3168;hinaus;7;
3208;liehen;7;
3230;Liste;7;cultural
3265;nachhaltige;7;cultural
3331;gefährdet;7;biophysical
3359;bleibt;7;
3531;Raurica;7;
3582;anderen;7;
3702;40;7;
3821;bisher;7;
3850;seinem;7;
3887;Welterbe;7;cultural
3989;Nicht;7;
4063;ei-;7;
4075;Land-;7;biophysical
4079;Gestaltung;7;cultural
4099;touristische;7;cultural
4251;Fahrt;7;cultural
4866;veränderte;7;
4872;Definition;7;cultural
4929;nachhaltig;7;cultural
5166;Darstellung;7;perceptual
5184;Frau;7;
5197;Genfer;7;toponym
5411;Den;7;
6404;Telefon;7;cultural
6991;Terrassenlandschaften;7;cultural
7289;Gewässer;7;biophysical
7316;darüber;7;
8192;schweizerischer;7;
8235;be-;7;
8406;Davos;7;toponym
11060;Amtlicher;7;
11072;Registre;7;
56;Monte;6;
57;San;6;
58;Giorgio;6;
95;welcher;6;
114;hatte;6;
199;Zu;6;
224;eigene;6;
225;Reben;6;
287;26;6;
320;<;6;
366;J.;6;
389;Weinberge;6;
447;Côte;6;
521;schöne;6;
536;April;6;
573;Dabei;6;
579;Planung;6;
676;Instrument;6;
686;Ausschnitt;6;
795;Siedlungen;6;
796;Strassen;6;
802;geworden;6;
816;ganzen;6;
821;weiteren;6;
851;ch;6;
878;Doch;6;
953;SL;6;
994;Gelände;6;
1046;Forschung;6;
1314;Gebäude;6;
1321;gute;6;
1333;hatten;6;
1393;weil;6;
1400;Wo;6;
1405;da;6;
1406;möchten;6;
1411;Wanderwege;6;
1535;ihnen;6;
1681;ergründen;6;
1689;jener;6;
1700;hegt;6;
1706;weiter;6;
1712;h.;6;
1720;befassen;6;
1737;werten;6;
1740;Erfolg;6;
1759;gleichen;6;
1809;Anzahl;6;
1919;Dies;6;
1938;Leben;6;
1990;bringen;6;
1991;Band;6;
2035;natürlichen;6;
2044;bringt;6;
2106;km;6;
2116;Arbeiten;6;
2155;ETH;6;
2169;Richtlinien;6;
2175;Hinweise;6;
2214;Chance;6;
2225;Interessen;6;
2229;Ziel;6;
2235;Mitwirkung;6;
2251;Würde;6;
2262;Veranstaltungen;6;
2272;Sinne;6;
2277;möchte;6;
2334;tun;6;
2354;Verlag;6;
2409;Wechsel;6;
2410;Sprache;6;
2480;gewisse;6;
2483;dadurch;6;
2506;Cöte;6;
2670;Tag;6;
2798;weitere;6;
2801;Präsident;6;
2804;Zweck;6;
2816;versucht;6;
2827;schützenswerte;6;
2866;Erhaltung;6;
2887;Gewicht;6;
2925;son;6;
2928;dans;6;
2951;par;6;
2974;Locle;6;
2976;Prähistorische;6;
2978;NIKE-Bulletin;6;
2991;pour;6;
3023;del;6;
3121;Wohlen;6;
3141;III;6;
3142;n;6;
