,word,count
0,Sky,4130
1,Plant,2956
2,Tree,2459
3,Natural landscape,2550
4,Land lot,229
5,Grass,807
6,Font,183
7,Landscape,1203
8,House,413
9,Grassland,245
10,Wood,596
11,Bedrock,307
12,Trunk,107
13,Terrestrial plant,144
14,Sculpture,44
15,Groundcover,105
16,Outcrop,44
17,Cloud,2829
18,Property,189
19,Building,1050
20,Highland,1687
21,Slope,2142
22,Neighbourhood,100
23,Mountain,3546
24,Window,815
25,Larch,434
26,Water,998
27,Water resources,410
28,Body of water,187
29,Fluvial landforms of streams,198
30,Watercourse,308
31,Bank,168
32,Bridge,64
33,Bicycle helmet,42
34,Bicycle,50
35,Bicycles--Equipment and supplies,63
36,Tire,236
37,Bicycle jersey,19
38,Wheel,307
39,Bicycle clothing,19
40,Bicycle frame,37
41,Helmet,126
42,Forest,29
43,Terrestrial animal,47
44,Twig,136
45,Drinkware,41
46,Beer,4
47,Tableware,94
48,Barware,19
49,Beer glass,3
50,Alcoholic beverage,8
51,Pint glass,1
52,Drink,22
53,Paulaner hefeweizen,1
54,Foam,1
55,Train,508
56,Vehicle,801
57,Rolling stock,448
58,Thoroughfare,107
59,Formation,169
60,Atmosphere,203
61,Air travel,49
62,Cumulus,293
63,Horizon,77
64,Geological phenomenon,273
65,Electricity,275
66,Track,317
67,Railway,237
68,Locomotive,72
69,Railroad car,40
70,Terrain,862
71,Fault,7
72,Rolling,104
73,Biome,198
74,Goggles,83
75,Sports equipment,206
76,Glove,25
77,Shoe,22
78,Shorts,38
79,Leg,14
80,Flash photography,18
81,T-shirt,68
82,Leisure,264
83,Sneakers,8
84,Tints and shades,154
85,Recreation,213
86,Bicycle wheel,26
87,Bicycle handlebar,29
88,Green,116
89,Motor vehicle,291
90,Automotive tire,124
91,Asphalt,205
92,Motorcycle,17
93,Stairs,13
94,Lighting,60
95,Snow,1770
96,Door,94
97,Natural environment,309
98,Travel,256
99,Arch,28
100,Arch bridge,26
101,Aqueduct,26
102,Arcade,7
103,Atmospheric phenomenon,277
104,Outdoor recreation,225
105,Ice cap,514
106,Freezing,534
107,Steam engine,1
108,Working animal,67
109,Fawn,63
110,Grazing,17
111,Mode of transport,265
112,Public transport,34
113,Fixture,144
114,Automotive mirror,15
115,Shade,78
116,Automotive exterior,64
117,Land vehicle,96
118,Car,178
119,Bus,15
120,Interior design,87
121,Houseplant,20
122,Religious item,4
123,Symmetry,39
124,Temple,22
125,Religious institute,2
126,Ceiling,26
127,Art,120
128,Medieval architecture,18
129,Sunlight,164
130,Nature,546
131,Footwear,19
132,Hat,46
133,Smile,105
134,Automotive wheel system,15
135,Sports uniform,24
136,Cap,19
137,Sunglasses,63
138,Baseball cap,9
139,Sports gear,37
140,Ecoregion,570
141,Blue,74
142,Vegetation,209
143,World,155
144,People in nature,161
145,Natural material,18
146,Brown,24
147,Deciduous,23
148,Vehicle door,15
149,Glass,26
150,Windshield,2
151,White,76
152,Black,67
153,Branch,146
154,Black-and-white,88
155,Style,42
156,Rectangle,150
157,Astronomical object,24
158,Star,5
159,Science,17
160,Galaxy,1
161,Midnight,22
162,Astronomy,2
163,Luggage and bags,35
164,Backpack,7
165,Bag,10
166,Jacket,56
167,Tent,32
168,Camping,10
169,Flower,150
170,Cottage,36
171,Siding,9
172,Sleeve,27
173,Standing,13
174,Cool,9
175,Friendship,1
176,Fun,60
177,Event,122
178,Sharing,24
179,Bottle,24
180,Table,125
181,Beard,15
182,Yellow,26
183,Plant community,238
184,Road,128
185,Adaptation,20
186,Rural area,83
187,Tarpaulin,6
188,Shirt,19
189,Eye,8
190,Youth,11
191,Afterglow,36
192,Azure,174
193,Dusk,43
194,Transport hub,37
195,Flowerpot,33
196,Wall,71
197,Landmark,25
198,Facade,261
199,Human settlement,3
200,Road surface,286
201,Vertebrate,35
202,Flag,36
203,Pole,23
204,Outdoor table,3
205,Leaf,89
206,Eyelash,6
207,Gesture,44
208,Tunnel,20
209,Circle,26
210,Darkness,25
211,Lake,423
212,Automotive lighting,140
213,Fuel tank,20
214,Auto part,11
215,Daytime,93
216,Light,99
217,Loom,2
218,Artisan,1
219,Monochrome,27
220,Engineering,32
221,Creative arts,4
222,Monochrome photography,30
223,Machine,23
224,Waterfall,46
225,Hill station,2
226,Line,61
227,Space,22
228,Technology,8
229,Signage,51
230,Display device,21
231,Brickwork,37
232,Plain,49
233,Motorsport,2
234,Valley,95
235,Furniture,68
236,Comfort,34
237,Textile,21
238,Couch,10
239,Lamp,13
240,Floor,43
241,Living room,13
242,Petal,61
243,Chamaemelum nobile,4
244,camomile,6
245,Herbaceous plant,37
246,Annual plant,19
247,Fence,69
248,Purple,18
249,Tablecloth,4
250,Chair,103
251,Kitchen & dining room table,2
252,Mountainous landforms,420
253,Gas,120
254,City,140
255,Infrastructure,134
256,Street light,55
257,Polo shirt,1
258,Happy,37
259,Elbow,2
260,Mountain range,190
261,Glasses,50
262,Vision care,54
263,Eyewear,79
264,Headgear,32
265,Mushroom,1
266,Ingredient,55
267,Agaricaceae,1
268,Fungus,1
269,Architecture,112
270,Public space,27
271,Street furniture,2
272,Traffic sign,25
273,Light fixture,1
274,Metal,42
275,Winter,46
276,Split-rail fence,4
277,Grille,13
278,Hood,55
279,Vehicle registration plate,32
280,Lacustrine plain,15
281,Map,14
282,Gadget,13
283,Flat panel display,6
284,Output device,6
285,Computer monitor accessory,4
286,Roof,73
287,Moon,12
288,Coastal and oceanic landforms,65
289,Cityscape,3
290,Automotive design,91
291,Steering wheel,7
292,Steering part,5
293,Bicycle accessory,3
294,Bicycle part,3
295,Cyclocomputer,2
296,Gauge,2
297,Measuring instrument,5
298,Dog breed,44
299,Mammal,27
300,Dairy cow,4
301,Carnivore,46
302,Fog,44
303,Flowering plant,58
304,Shrub,35
305,Ski Equipment,144
306,Glacial landform,316
307,Organism,31
308,Painting,7
309,Mural,4
310,Illustration,4
311,Flooring,76
312,Paint,17
313,Bird,73
314,Community,18
315,Clothing,26
316,Picture frame,19
317,Agriculture,9
318,Rainbow,7
319,Overhead power line,38
320,Sunset,16
321,Cabinetry,9
322,Countertop,6
323,Kitchen,8
324,Morning,27
325,Hiking equipment,31
326,Residential area,71
327,Sunrise,6
328,Tower,67
329,Horse,39
330,Water bottle,1
331,Evergreen,77
332,Cycling shorts,7
333,Street fashion,28
334,Racing,23
335,Inline skating,8
336,Roller skates,7
337,Toddler,5
338,Hard hat,2
339,Motorcycle helmet,2
340,Personal protective equipment,10
341,Sports,51
342,Skateboard,1
343,Roller sport,5
344,Jeans,48
345,Trousers,25
346,Roller skating,5
347,Skateboarder,1
348,Competition event,12
349,Running,1
350,Electric blue,42
351,Sidewalk,7
352,Knee pad,1
353,Aerospace manufacturer,6
354,Aircraft,26
355,Outerwear,36
356,Player,2
357,Quadrathlon,2
358,Social group,20
359,Windbreaker,4
360,Hill,52
361,Food,72
362,Dishware,37
363,White rice,1
364,Plate,45
365,Recipe,40
366,Rice,2
367,Cuisine,43
368,Kitchen utensil,7
369,Dish,29
370,Wind wave,21
371,Water feature,1
372,Mountain river,2
373,Nunatak,67
374,Cooking,18
375,Real estate,46
376,Shoulder,6
377,White-collar worker,4
378,Tower block,12
379,Hiking,7
380,Food craving,2
381,Leaf vegetable,4
382,Toy,8
383,Wind,19
384,Meadow,38
385,Windsports,21
386,Pattern,44
387,Massif,8
388,Horse supplies,22
389,Billboard,5
390,Product,17
391,Household hardware,2
392,Rim,6
393,Bicycle chain,1
394,Silver,1
395,Spoke,1
396,Botany,36
397,Woody plant,34
398,Photograph,49
399,Urban design,109
400,Polar ice cap,21
401,Aviation,17
402,Flap,7
403,Wing,29
404,Composite material,57
405,Grey,45
406,Brick,51
407,Parallel,29
408,Beige,4
409,Material property,36
410,Chapel,2
411,Vase,1
412,Pink,5
413,Flower Arranging,2
414,Artificial flower,2
415,Serveware,20
416,Fines herbes,3
417,Cup,12
418,Porcelain,2
419,Candle,2
420,Musical instrument,45
421,Keyboard,1
422,Room,26
423,Fashion design,3
424,Animal product,2
425,Liquid,37
426,Fluid,39
427,Solution,4
428,Personal care,3
429,Finger,9
430,Table salt,1
431,Beam,8
432,Decoration,6
433,Wax,1
434,Candle holder,1
435,Flame,5
436,Fire,7
437,Body jewelry,2
438,Curtain,8
439,Violet,2
440,Magenta,8
441,Triangle,11
442,Glass bottle,9
443,Stemware,11
444,Statue,19
445,Monument,16
446,Classical sculpture,2
447,Béchamel sauce,1
448,Potage,1
449,Cosmetics,2
450,Office supplies,4
451,Perfume,1
452,Wine glass,3
453,Tool,1
454,Knife,1
455,Blade,1
456,Wood stain,22
457,Everyday carry,2
458,Produce,10
459,Hand,12
460,Tap,8
461,Sink,5
462,Chef,2
463,Gas stove,1
464,Face,10
465,Watch,8
466,Audio equipment,6
467,Champagne stemware,1
468,Security lighting,1
469,Geology,9
470,Soil,32
471,Rock,22
472,Diagram,1
473,Tread,13
474,Fender,4
475,Airplane,11
476,Stone wall,10
477,People,2
478,Beauty,6
479,Suspension bridge,1
480,Workwear,2
481,High-visibility clothing,3
482,Devil's bridge,4
483,Beam bridge,4
484,Concrete bridge,7
485,Passenger,15
486,Videographer,1
487,Television crew,1
488,Camera,3
489,Film crew,1
490,Cinematographer,1
491,Crowd,34
492,Riparian zone,21
493,Environmental art,1
494,Truck,7
495,Tar,16
496,Crankset,3
497,Bicycle tire,18
498,Bicycle hub,1
499,Bonfire,4
500,Ash,2
501,Campfire,3
502,Heat,8
503,Boot,3
504,Tour bus service,8
505,Scout,1
506,Cargo pants,1
507,Military person,3
508,Military uniform,2
509,Non-commissioned officer,2
510,Soldier,1
511,Military officer,1
