;word;count;category
39;,;1615;
23;.;1272;
44;und;840;
18;der;781;
47;die;713;
27;in;341;
12;den;254;
32;mit;239;
41;von;229;
15;des;196;
69;das;183;
483;:;182;
17;ist;180;
264;»;175;
84;zu;173;
50;Die;167;
54;für;157;
5;im;155;
260;«;153;
35;dem;148;
55;eine;147;
196;-;141;
38;);137;
46;auf;132;
76;ein;125;
63;sich;123;
30;(;118;
276;als;112;
318;nicht;96;
26;auch;92;
34;aus;89;
800;Davos;86;
206;an;83;
648;sie;76;
286;St.;70;toponym
1;einer;68;
88;Das;68;
256;hat;68;
561;sind;68;
310;einem;67;
114;werden;66;
241;durch;66;
90;wird;64;
127;Bahn;63;cultural
368;wie;63;
290;Moritz;59;toponym
133;nach;57;
314;es;57;
151;Schweiz;55;toponym
272;über;54;
975;Chur;54;toponym
978;AG;54;toponym
657;dass;52;
1166;Landschaft;52;biophysical
145;Der;51;
594;zum;51;
224;bei;50;
33;RhB;49;cultural
643;um;49;
1141;wurde;49;
602;zur;48;
837;Tourismus;48;cultural
743;so;47;
1874;Sie;47;
139;noch;45;
609;er;44;
649;nur;43;
74;oder;42;
1450;?;42;
190;am;41;
239;aber;41;
242;Kanton;41;cultural
746;bis;41;
25;man;40;
250;vom;38;
1099;dieser;37;
200;war;36;
382;In;36;
497;einen;36;
199;Es;35;
826;Kur-;35;cultural
203;Graubünden;34;toponym
62;vor;33;
994;Verkehrsverein;33;cultural
410;haben;31;
537;Hotel;31;cultural
208;seine;29;
541;1;29;
191;Schweizer;28;toponym
645;Natur;28;biophysical
261;Rhätische;27;cultural
284;zwischen;27;
857;Eine;27;
1136;Jahre;27;
1030;Appenzell;26;toponym
1048;de;26;
1955;>;26;
289;sowie;25;
1901;mehr;25;
2637;was;25;
582;Mit;24;
1495;kann;24;
10;';23;
28;diese;23;
801;Platz;23;biophysical
979;Pontresina;23;toponym
1123;wir;23;
1303;heute;23;
1600;Ein;23;
1931;Jahren;23;cultural
882;Zeit;22;cultural
1007;Samedan;22;toponym
1077;sein;22;
980;Waldhaus;21;cultural
993;Klosters;21;toponym
996;Gemeinde;21;cultural
21;wieder;20;
995;Silvaplana;20;toponym
1188;nun;20;
1273;eines;20;
20;immer;19;
207;damit;19;
322;sondern;19;
985;Technik;19;cultural
1009;Savognin;19;toponym
1259;Im;19;
414;Bauten;18;cultural
698;ihre;18;
749;Bündner;18;cultural
756;wurden;18;
769;Kunstbauten;18;cultural
3432;S.;18;
235;hier;17;
654;Projekt;17;cultural
881;2;17;
1479;seit;17;
1748;Dr.;17;
1794;10;17;
107;seiner;16;
121;diesem;16;
245;neue;16;
248;ihrer;16;
587;ins;16;
591;führt;16;
740;&;16;
1008;Samnaun;16;toponym
1011;Landquart;16;toponym
1615;Er;16;
2011;Rhätischen;16;cultural
2496;Raumplanung;16;cultural
2675;wo;16;
5306;•;16;
11;Für;15;
104;sehr;15;
473;<;15;
493;ihren;15;
516;soll;15;
573;worden;15;
666;bereits;15;
738;*;15;
905;Entwicklung;15;cultural
1001;Flims;15;toponym
1006;Lenzerheide;15;toponym
1104;Geschichte;15;sense of place
1137;Bau;15;cultural
1431;Brücken;15;cultural
1954;--;15;
2880;Jahr;15;cultural
136;uns;14;
154;Nach;14;
327;sehen;14;
364;Bedeutung;14;sense of place
502;grosse;14;perceptual
583;neuen;14;perceptual
618;ihr;14;
1010;Bergbahnen;14;cultural
1478;denn;14;
1781;sei;14;
8035;ROl;14;
93;Sommer;13;biophysical
156;hatte;13;
313;Wie;13;
499;Rahmen;13;perceptual
568;unter;13;
596;grossen;13;perceptual
718;können;13;
2537;rund;13;biophysical
7;Von;12;
45;Blick;12;perceptual
285;Thusis;12;toponym
350;zwei;12;
413;drei;12;
584;ohne;12;
627;Seite;12;
898;3;12;
1020;Stadt;12;cultural
1103;Kunst;12;cultural
1289;Fr;12;
1412;beim;12;
1487;liegt;12;
1537;Aargau;12;toponym
1730;7000;12;
2049;Strecke;12;cultural
2448;konnte;12;
2975;m;12;
3845;ihn;12;
4;Architektur;11;cultural
64;geht;11;
115;gut;11;
472;7;11;
576;während;11;
614;will;11;
1023;Verein;11;cultural
1159;Albulabahn;11;cultural
1184;Linienführung;11;cultural
1429;weil;11;
1447;dies;11;
1480;Albula/Bernina;11;toponym
1581;/;11;
1606;muss;11;
1624;Beispiel;11;perceptual
2000;doch;11;
2080;zahlreichen;11;perceptual
2109;28;11;
2234;einige;11;
2735;Thema;11;
2820;gegen;11;
3107;Franken;11;cultural
77;stark;10;
135;Bei;10;
189;waren;10;
234;Auch;10;
333;Welterbe;10;cultural
366;zeigt;10;perceptual
381;ab;10;
396;ganz;10;perceptual
675;Als;10;
783;Über;10;
804;Uhr;10;cultural
805;Ende;10;cultural
808;Fahrt;10;cultural
872;Kulturlandschaft;10;cultural
991;Grand;10;
1012;Sedrun;10;toponym
1284;dazu;10;
1418;weniger;10;
1428;Zürich;10;toponym
1471;steht;10;
1496;Strasse;10;cultural
1639;Und;10;
1784;Arbeit;10;cultural
1848;April;10;
1941;bisher;10;
2212;da;10;
2558;Zug;10;cultural
2889;du;10;
3152;Wir;10;
3749;Engadin;10;toponym
3808;Abteilung;10;cultural
4063;Adelboden;10;toponym
146;Ver-;9;
148;bietet;9;perceptual
218;Dass;9;
273;Alpen;9;biophysical
294;erst;9;
384;Gestaltung;9;perceptual
411;Pro;9;
488;``;9;
540;Seit;9;
586;zurück;9;
731;Peter;9;
788;Diese;9;
841;I;9;
983;Hochschule;9;cultural
1034;Herisau;9;toponym
1098;Auf;9;
1125;touristischen;9;cultural
1163;dafür;9;
1183;alte;9;perceptual
1191;JL;9;
1206;Um;9;
1477;Dies;9;
1823;Wald;9;biophysical
1921;Ingenieure;9;cultural
1938;vier;9;
1999;welche;9;
2041;Heute;9;
2414;2006;9;
2521;verbunden;9;
2605;gibt;9;
2624;Ausstellung;9;sense of place
2653;So;9;
2659;dann;9;
2777;Menschen;9;cultural
2783;führen;9;activities
2821;also;9;
2861;Was;9;
3045;j;9;
3243;etwa;9;
3644;Teil;9;
4826;Raumentwicklung;9;cultural
5517;Tel;9;
70;Bild;8;perceptual
125;di;8;
194;viel;8;
209;Bevölkerung;8;cultural
252;Juli;8;
311;Meter;8;
356;Dorf;8;cultural
388;etwas;8;
406;Gemeinden;8;cultural
500;25;8;
508;Welt;8;biophysical
559;letzten;8;perceptual
571;Gäste;8;
592;Weg;8;cultural
678;kommen;8;
786;gar;8;
866;Raum;8;biophysical
986;Wirtschaft;8;cultural
987;Intersoc;8;
988;Bruxelles;8;toponym
990;Kempinski;8;
992;Bains;8;
997;MOROSANI;8;
998;HOTELS;8;cultural
999;DAVOS;8;
1000;Park;8;
1021;Lenzburg;8;
1029;Zurzach;8;
1032;Heiden;8;
1039;Gallen;8;
1090;alten;8;perceptual
1124;diesen;8;
1170;stand;8;
1177;bleibt;8;
1207;dieses;8;
1348;aufgenommen;8;perceptual
1357;5;8;
1402;alle;8;
1456;wäre;8;
1663;Hotels;8;cultural
1764;Jürg;8;
1858;!;8;
1933;lassen;8;
2117;SHS;8;
2281;weder;8;
2364;Ställe;8;perceptual
2518;jedoch;8;
2573;gebaut;8;cultural
2575;Dieser;8;
2762;zusammen;8;
2763;Nicht;8;
2936;schon;8;
3109;Bern;8;toponym
3206;Schutz;8;biophysical
3297;gute;8;
3661;Weltkulturerbe;8;cultural
3847;fast;8;
4158;ersten;8;
83;Bernina;7;toponym
144;Wasser;7;biophysical
307;be-;7;
363;nationaler;7;cultural
438;entlang;7;biophysical
456;Aufnahmen;7;perceptual
464;machen;7;cultural
525;Präsident;7;cultural
549;Martin;7;
669;Landwirtschaft;7;cultural
671;oft;7;perceptual
681;Frage;7;
690;erhalten;7;sense of place
981;See;7;biophysical
1013;Disentis;7;toponym
1018;Verkehrsbüro;7;cultural
1019;Baden;7;toponym
1043;Basel-Landschaft;7;toponym
1064;Direktor;7;toponym
1152;Anlagen;7;cultural
1158;Heimatschutzes;7;perceptual
1196;M.;7;
1285;Mittel;7;
1368;%;7;
1434;wenig;7;perceptual
1470;Filisur;7;toponym
1483;hohe;7;biophysical
1488;Wer;7;
1680;andere;7;
1765;Paul;7;
1799;lange;7;biophysical
1819;viele;7;
1912;stellt;7;
1945;Leitung;7;cultural
1971;Mio;7;
2009;Tunnels;7;cultural
2079;chen;7;
2134;Erhaltung;7;sense of place
2150;Denkmalpflege;7;sense of place
2245;18;7;
2271;nen;7;
2493;Nr;7;
2509;Siedlungen;7;cultural
2597;Ich;7;
2621;2008;7;
2627;Bahnlinie;7;cultural
2699;21;7;
2785;Leben;7;biophysical
2824;neu;7;
3087;Bis;7;
3094;Ort;7;perceptual
3272;Angebot;7;cultural
3438;1986;7;
3468;50;7;
3549;Bilder;7;perceptual
3593;Millionen;7;
3854;Unesco;7;cultural
3905;Linie;7;cultural
5082;braucht;7;
5220;0;7;
9;Müller;6;
19;Eindruck;6;
80;Klima;6;
106;wegen;6;
172;Prättigau;6;
347;neben;6;
391;hohen;6;
514;sechs;6;
634;Land;6;
650;wenn;6;
734;'';6;
742;lässt;6;
754;];6;
795;Wunsch;6;
797;Beitrag;6;
802;Bahnhof;6;
814;Spaziergang;6;
828;Quellen;6;
864;Einleitung;6;
906;20;6;
907;Jahrhundert;6;
929;H;6;
1031;A.Rh;6;
1042;Basel-;6;
1049;Montreux;6;
1054;national;6;
1078;sollen;6;
1085;Postauto;6;
1100;Reise;6;
1117;unterhalb;6;
1132;später;6;
1143;Heimatschutz;6;
1144;gegründet;6;
1145;beiden;6;
1182;kommt;6;
1236;a;6;
1238;la;6;
1263;Landrat;6;
1356;Vorhaben;6;
1396;4;6;
1492;bald;6;
1493;einmal;6;
1504;em;6;
1524;A;6;
1611;Denn;6;
1626;macht;6;
1628;Sinn;6;
1635;Wanderer;6;
1675;15;6;
1719;P.;6;
1738;Hans;6;
1752;Jenny;6;
1796;km;6;
1817;langen;6;
1891;Oder;6;
2026;Besuch;6;
2032;Weiterfahrt;6;
2162;Namen;6;
2175;Schloss;6;
2229;besser;6;
2293;setzen;6;
2335;Bezug;6;
2382;zehn;6;
2386;Safier;6;
2390;deren;6;
2410;Basel;6;
2462;Inventar;6;
2492;1983;6;
2497;Fremdenverkehr;6;
2502;Besiedlung;6;
2503;Verkehr;6;
2523;Tatsache;6;
2566;hätte;6;
2578;Gegend;6;
2669;Reisenden;6;
2733;nimmt;6;
2786;Man;6;
2844;Haus;6;
2943;Aufgabe;6;
2982;alpine;6;
3001;Architekten;6;
3005;hatten;6;
3049;Rheinfelden;6;
3125;bilden;6;
3128;vielen;6;
3313;denken;6;
3326;30;6;
3345;bekannt;6;
3398;Bereich;6;
3635;Tunnel;6;
3755;Express;6;
3916;neues;6;
3972;lang;6;
4004;ten;6;
4017;Zwar;6;
4023;anderen;6;
4141;ich;6;
4457;habe;6;
4686;Sardona;6;
4827;Nachhaltigkeit;6;
4838;Fragen;6;
4875;oberhalb;6;
4879;19;6;
4900;Verhältnis;6;
4949;Verbindung;6;
4979;le;6;
5744;je;6;
5972;Anm;6;
5974;DOSCH;6;
8033;GmbH;6;
14;Besucher;5;
73;fährt;5;
91;insbesondere;5;
94;Herbst;5;
113;ge;5;
152;weit;5;
225;Liestal;5;
263;na;5;
270;Bahn-;5;
298;Metern;5;
309;1910;5;
338;Dörfer;5;
386;meist;5;
412;Architekt;5;
461;ausgewählten;5;
484;42;5;
515;Höhe;5;
528;links;5;
531;Hôtel;5;
564;400;5;
588;Vom;5;
638;Bundesamt;5;
655;stehen;5;
660;Fall;5;
702;Boden;5;
708;Einheit;5;
725;Schweizerische;5;
751;hinunter;5;
753;Berninabahn;5;
755;erschlossen;5;
757;Nur;5;
758;gerade;5;
787;nichts;5;
790;wohl;5;
911;historischen;5;
1015;Swiss;5;
1036;Verband;5;
1068;Walter;5;
1089;vorbei;5;
1120;schönen;5;
1142;Vereinigung;5;
1148;eng;5;
1151;technischen;5;
1153;Eisenbahnen;5;
1173;Zeitschrift;5;
1180;heutigen;5;
1186;Albula;5;
1192;9;5;
1198;Katastererneuerung;5;
1199;1989;5;
1308;Betrieb;5;
1337;gestellt;5;
1360;letzte;5;
1415;allem;5;
1467;verändert;5;
1522;2004;5;
1531;[;5;
1540;Amt;5;
1609;statt;5;
1660;Warum;5;
1664;Zimmer;5;
1669;Tage;5;
1750;Hartmann;5;
1786;folgenden;5;
1935;würde;5;
1975;Fonds;5;
1977;Bund;5;
2038;Tag;5;
2108;Montag;5;
2154;WWF;5;
2161;Sektion;5;
2201;schöne;5;
2215;zahlreiche;5;
2220;Länge;5;
2272;Kultur;5;
2318;Grenzen;5;
2320;verbindet;5;
2326;Berg-;5;
2367;Häuser;5;
2385;versucht;5;
2391;Wahrzeichen;5;
2419;Stiftung;5;
2437;Poschiavo;5;
2500;bestehen;5;
2514;Attraktivität;5;
2676;sagt;5;
2683;ihrem;5;
2689;Telefon;5;
2718;Karte;5;
2722;Legenden;5;
2768;verändern;5;
2834;Gesellschaft;5;
2836;allein;5;
2847;zeigen;5;
2872;Kehrtunnels;5;
2878;Bahnbau;5;
2914;ganze;5;
2968;Einfluss;5;
2984;überhaupt;5;
3040;Immobilien;5;
3041;Engiadina;5;
3088;Februar;5;
3181;deshalb;5;
3223;beide;5;
3225;Durch;5;
3226;Berner;5;
3271;touristische;5;
3284;Wandel;5;
3287;könnte;5;
3296;verfügt;5;
3378;Juni;5;
3425;11;5;
3480;Doch;5;
3485;keine;5;
3508;ü;5;
