;word;count;category;subcategory
385;davos;78;toponym;toponym
273;werden;59;unclassified;unclassified
63;bahn;46;cultural;infrastructure
484;moritz;38;toponym;toponym
572;landschaft;34;biophysical;landform
113;schweiz;33;toponym;toponym
486;verkehrsverein;33;sense of place;attachements
16;rhb;28;cultural;anthropogenic objects
16;rhb;28;cultural;infrastructure
243;neu;25;perceptual;color / vision
297;stehen;25;unclassified;unclassified
54;gut;24;sense of place;associations
110;kanton;24;cultural;land use
498;appenzell;24;toponym;toponym
900;sein;23;unclassified;unclassified
305;natur;21;biophysical;land cover
810;heute;21;cultural;time depth
120;rhätische;20;toponym;toponym
153;sehen;20;perceptual;color / vision
284;führen;20;cultural;infrastructure
487;pontresina;20;toponym;toponym
488;silvaplana;20;toponym;toponym
98;graubünden;19;toponym;toponym
485;klosters;19;toponym;toponym
415;tourismus;18;toponym;toponym
423;gemeinden;18;cultural;land use
975;jahren;18;cultural;time depth
11;immer;17;cultural;time depth
90;schweizer;17;toponym;toponym
386;platz;17;cultural;settlement
663;stellen;17;unclassified;unclassified
1254;erst;17;cultural;time depth
194;hoch;16;perceptual;color / vision
482;hotel;16;cultural;infrastructure
700;wenig;16;perceptual;pattern
112;neue;15;perceptual;color / vision
479;chur;15;toponym;toponym
526;alt;15;perceptual;color / vision
931;jahre;15;cultural;time depth
228;bauten;14;cultural;settlement
501;verbinden;14;cultural;infrastructure
585;kommen;14;unclassified;unclassified
908;viel;14;perceptual;pattern
405;bündner;13;toponym;toponym
617;sowie;13;unclassified;unclassified
717;seit;13;cultural;time depth
1059;früh;13;cultural;time depth
1296;raumplanung;13;cultural;land use
1356;bauen;13;cultural;settlement
1895;mehr;13;perceptual;pattern
147;strecken;12;unclassified;unclassified
172;zeigen;12;perceptual;color / vision
233;rahmen;12;unclassified;unclassified
235;grosse;12;perceptual;color / vision
361;kunstbauten;12;cultural;settlement
470;rund;12;perceptual;pattern
728;verändern;12;sense of place;history
1016;rhätischen;12;toponym;toponym
37;sommer;11;biophysical;climate
169;national;11;sense of place;identity
170;bedeutung;11;sense of place;attachements
490;hotels;11;cultural;infrastructure
539;geschichte;11;sense of place;history
551;bau;11;cultural;settlement
745;fahren;11;cultural;infrastructure
767;aargau;11;toponym;toponym
906;lang;11;perceptual;color / vision
951;schön;11;perceptual;color / vision
76;erhalten;10;sense of place;attachements
135;thusis;10;toponym;toponym
158;welterbe;10;sense of place;attachements
186;ab;10;unclassified;unclassified
270;zahlreich;10;perceptual;pattern
430;raum;10;cultural;land use
433;kulturlandschaft;10;cultural;land use
442;entwicklung;10;sense of place;history
529;lenzerheide;10;toponym;toponym
538;kunst;10;unclassified;unclassified
560;technisch;10;cultural;infrastructure
580;bleiben;10;sense of place;history
610;setzen;10;unclassified;unclassified
713;brücken;10;cultural;infrastructure
946;ganz;10;perceptual;texture
2015;abteilung;10;unclassified;unclassified
3;architektur;9;cultural;settlement
119;unesco;9;sense of place;identity
287;grossen;9;perceptual;color / vision
317;bereits;9;cultural;time depth
436;zeit;9;cultural;time depth
494;waldhaus;9;cultural;settlement
500;herisau;9;toponym;toponym
541;sagen;9;unclassified;unclassified
567;albulabahn;9;cultural;infrastructure
820;beispiel;9;sense of place;meaning
913;wald;9;biophysical;flora
1119;geben;9;unclassified;unclassified
1189;technik;9;cultural;infrastructure
1300;bestehen;9;sense of place;history
1454;thema;9;unclassified;unclassified
1536;jahr;9;cultural;time depth
2775;bringen;9;unclassified;unclassified
20;weit;8;unclassified;unclassified
137;dabei;8;unclassified;unclassified
188;gestaltung;8;perceptual;color / vision
279;gehen;8;unclassified;unclassified
290;seite;8;unclassified;unclassified
411;wichtig;8;sense of place;feeling
489;morosani;8;cultural;infrastructure
495;flims;8;toponym;toponym
499;heiden;8;toponym;toponym
741;wer;8;unclassified;unclassified
808;beim;8;unclassified;unclassified
812;fragen;8;unclassified;unclassified
929;fahrt;8;cultural;infrastructure
984;bisher;8;cultural;time depth
1324;bieten;8;unclassified;unclassified
1339;zug;8;cultural;infrastructure
1375;stark;8;perceptual;touch
1526;landquart;8;toponym;toponym
1562;schon;8;cultural;time depth
1716;etwa;8;unclassified;unclassified
1925;teil;8;unclassified;unclassified
22;blick;7;perceptual;color / vision
49;wegen;7;unclassified;unclassified
95;gründen;7;sense of place;history
111;zwei;7;perceptual;pattern
143;meter;7;cultural;infrastructure
163;dorf;7;cultural;settlement
179;wirken;7;perceptual;color / vision
191;klein;7;perceptual;color / vision
206;entlang;7;unclassified;unclassified
222;aktuell;7;cultural;time depth
241;welt;7;unclassified;unclassified
309;projekt;7;cultural;infrastructure
358;erfahren;7;sense of place;history
407;gelten;7;unclassified;unclassified
435;historisch;7;sense of place;history
701;drei;7;perceptual;pattern
731;filisur;7;toponym;toponym
967;ingenieure;7;cultural;infrastructure
982;vier;7;perceptual;pattern
1014;tunnels;7;cultural;infrastructure
1022;gemeinsam;7;perceptual;pattern
1106;möglich;7;unclassified;unclassified
1114;folgen;7;perceptual;pattem
1529;einzigartig;7;sense of place;identity
1535;können;7;unclassified;unclassified
1648;denken;7;unclassified;unclassified
1663;prägen;7;sense of place;history
1872;bilder;7;;
1984;engadin;7;;
2026;fast;7;;
3084;dosch;7;;
43;herrlich;6;;
101;bevölkerung;6;;
115;juli;6;;
127;alpen;6;;
190;meist;6;;
223;aufnahmen;6;;
227;ausgewählt;6;;
231;bilden;6;;
234;mal;6;;
254;präsident;6;;
264;letzt;6;;
281;zurück;6;;
383;beitrag;6;;
554;beid;6;;
570;dafür;6;;
578;schutz;6;;
740;liegen;6;;
748;strasse;6;;
824;sinn;6;;
884;jürg;6;;
977;lassen;6;;
1019;weiterfahren;6;;
1033;linienführung;6;;
1084;landwirtschaft;6;;
1102;leitung;6;;
1219;alpin;6;;
1235;der;6;;
1309;siedlungen;6;;
1317;jedoch;6;;
1322;touristischen;6;;
1346;tragen;6;;
1351;wandern;6;;
1383;aufnehmen;6;;
1384;ausstellung;6;;
1388;bahnlinie;6;;
1492;menschen;6;;
1537;spät;6;;
1569;aufgabe;6;;
1638;hören;6;;
1640;ort;6;;
1989;express;6;;
2055;linie;6;;
2126;adelboden;6;;
2424;erklären;6;;
2450;ende;6;;
2499;nachhaltigkeit;6;;
2845;finden;6;;
2961;franken;6;;
3082;anm;6;;
3347;tel;6;;
47;klima;5;;
53;ge;5;;
75;prättigau;5;;
171;erscheinen;5;;
210;wesentlich;5;;
245;sechs;5;;
258;links;5;;
346;schweizerische;5;;
355;gerade;5;;
374;gar;5;;
381;wunsch;5;;
481;grand;5;;
504;gallen;5;;
523;verschieden;5;;
535;sollen;5;;
542;erleben;5;;
561;anlagen;5;;
575;bereichern;5;;
612;landrat;5;;
631;mittel;5;;
650;wirtschaftlich;5;;
667;vorhaben;5;;
711;zürich;5;;
716;wissen;5;;
719;beschäftigen;5;;
746;bald;5;;
762;scheinen;5;;
819;tun;5;;
822;machen;5;;
828;wanderer;5;;
868;pro;5;;
885;paul;5;;
932;eröffnen;5;;
947;besonder;5;;
962;samedan;5;;
992;mio;5;;
1030;zählen;5;;
1036;begeistern;5;;
1043;chen;5;;
1075;suchen;5;;
1108;schloss;5;;
1127;länge;5;;
1152;stadt;5;;
1157;nen;5;;
1203;schaffen;5;;
1227;zehn;5;;
1252;denkmalpflege;5;;
1263;dürfen;5;;
1279;legen;5;;
1293;nr;5;;
1314;attraktivität;5;;
1368;ja;5;;
1412;entstehen;5;;
1423;reisend;5;;
1428;telefon;5;;
1452;nehmen;5;;
1516;arbeit;5;;
1585;alpine;5;;
1587;überhaupt;5;;
1593;verstehen;5;;
1595;architekten;5;;
1621;engiadina;5;;
1904;mögen;5;;
1951;sicht;5;;
1956;weltkulturerbe;5;;
2052;bahnhof;5;;
2106;ten;5;;
2145;eisenbahn;5;;
2281;fremd;5;;
2306;grosses;5;;
2330;direkt;5;;
2335;landschaftlich;5;;
2342;modern;5;;
2420;sardona;5;;
2472;langen;5;;
2502;ehemalig;5;;
2560;verbindung;5;;
6;müller;4;;
10;eindruck;4;;
17;val;4;;
26;schönheit;4;;
34;puschlav;4;;
35;insbesondere;4;;
48;schätzen;4;;
106;hand;4;;
122;liste;4;;
129;auszeichnung;4;;
132;weltweit;4;;
204;werner;4;;
216;bedingungen;4;;
253;ben;4;;
257;bild;4;;
271;gäste;4;;
282;gebiet;4;;
295;land;4;;
320;besonders;4;;
351;hinunter;4;;
353;berninabahn;4;;
370;generell;4;;
376;wohl;4;;
380;wecken;4;;
384;ingenieurbaukunst;4;;
392;spaziergang;4;;
403;quellen;4;;
429;einleitung;4;;
432;historische;4;;
434;wert;4;;
443;jahrhundert;4;;
466;e;4;;
477;dick;4;;
480;kempinski;4;;
483;bains;4;;
493;park;4;;
502;verkehrsvereine;4;;
506;schindler;4;;
507;waggon;4;;
519;per;4;;
521;postauto;4;;
543;sichern;4;;
546;bestehend;4;;
552;vereinigung;4;;
557;engen;4;;
562;eisenbahnen;4;;
566;heimatschutzes;4;;
568;hingegen;4;;
574;beleben;4;;
579;neben;4;;
583;heutig;4;;
590;katastererneuerung;4;;
592;daten;4;;
598;erreichen;4;;
600;kurz;4;;
615;auftrag;4;;
739;richtung;4;;
755;em;4;;
799;peter;4;;
806;statt;4;;
835;zimmer;4;;
843;bedeuten;4;;
861;hans;4;;
996;prozent;4;;
1088;kreisen;4;;
1089;shs;4;;
1096;namen;4;;
1123;breit;4;;
1135;einfügen;4;;
1204;bezug;4;;
1208;natürlich;4;;
1228;versuchen;4;;
1229;verein;4;;
1256;anfang;4;;
1264;zerstören;4;;
1273;inventar;4;;
1297;fremdenverkehr;4;;
1302;besiedlung;4;;
1304;naturnahe;4;;
1305;gepflegt;4;;
1321;tatsache;4;;
1334;basel;4;;
1348;haben;4;;
1359;vielfalt;4;;
1401;sieben;4;;
1422;einheimisch;4;;
1479;zusammen;4;;
1503;stall;4;;
